listing_id,state,user_id,category_id,title,description,creation_tsz,ending_tsz,original_creation_tsz,last_modified_tsz,,price,currency_code,quantity,sku,tags,materials,shop_section_id,featured_rank,state_tsz,url,views,num_favorers,shipping_template_id,processing_min,processing_max,who_made,is_supply,when_made,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,is_private,recipient,occasion,style,non_taxable,is_customizable,is_digital,file_data,can_write_inventory,should_auto_renew,language,has_variations,taxonomy_id,taxonomy_path,used_manufacturer,is_vintage
129457928,active,17905617,,1954 67th Birthday Anniversary Farthing coin in a Silver Plated Pendant mount plus 18 Inch SS Chain 67th birthday gift for her Loved One,"1954 67th Birthday Anniversary Farthing coin in a Silver Plated Pendant mount 

Genuine circulated 1954 67th birthday Farthing coin mounted in a Silver plated mount 

A genuine circulated 1954 hand polished Farthing attached to a silver plated pendant mount creating a lovely two tone effect.

Supplied with 18 inch Sterling Silver Chain
Ideal present for a 67th Birthday

This item will make a nice gift or to celebrate the year of your birth.

Picture shows 1953 - you will receive a 1954",1612769897,1623134297,1366045468,1612769897,08/02/2021,26.98,USD,2,[],"Coin Pendant, Farthing Pendant, 1954, diamond wedding, coin jewellery, coin jewelry, 1954 gift, charm, coin charm, mothers day, 67th birthday gift, 67th Mum, 67th Sister","british farthing, uk coin, 1954 farthing",11737797,,1596445760,https://www.etsy.com/listing/129457928/1954-67th-birthday-anniversary-farthing?utm_source=bulkupload&utm_medium=api&utm_campaign=api,1138,48,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
928400826,active,17905617,,"Fine Pendant 1941 Lucky sixpence 80th Birthday plus a Sterling Silver 18in Chain 80th birthday gift for her Thinking Of You, Mum Dad","Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1941 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1941 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 80th Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1612742947,1623107347,1610642465,1612742947,08/02/2021,34.98,USD,5,[],"80th pendant, 80th mum, 80th sister, coin jewellery, coin jewelry, coin pendant, 1941 gift, 1941, 1941 birthday gift, mothers day, 80th, 80th gift for her, 80th Nan","sixpence, Silver coin, 1941 sixpence, gift box",11743680,,1610642465,https://www.etsy.com/listing/928400826/fine-pendant-1941-lucky-sixpence-80th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,15,1,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
102875924,active,17905617,,"Fancy Pendant 1962 Lucky sixpence 59th Birthday plus a Sterling Silver 18in Chain 59th birthday gift for her Thinking Of You, Mum Dad","Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1962 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1962 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 59th Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1612737609,1623102009,1340572944,1612740925,07/02/2021,26.98,USD,9,[],"1962 pendant, 59th pendant, silver, 1962 sixpence, luck sixpence, 1962, 1962 gift, 1962 birthday gift, 1962 birthday, 59th mother, mothers day, 59th sister, gift for her",1962 coin,11743680,,1612273167,https://www.etsy.com/listing/102875924/fancy-pendant-1962-lucky-sixpence-59th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,614,38,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
928426740,active,17905617,,"Fancy Pendant 1931 Lucky sixpence 90th Birthday plus a Sterling Silver 18in Chain 90th birthday gift for her, Thinking Of You, Mum, Dad","Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1931 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1931 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 90th Birthday / Anniversary 

This item will make a nice gift or to celebrate the year of your birth.",1612720811,1623085211,1610645160,1612741400,07/02/2021,37.98,USD,2,[],"gift for mum, 90th gift, valentines day, 90 year old, gift for her, mothers day gift, 90th birthday gift, 90th gift for her, 90th gift for mum, 1931 gift for her, 1931 birthday gift, Gift for Gran, Mum","sixpence, Silver coin, 1931 Sixpence coin, gift box",11743680,,1610708239,https://www.etsy.com/listing/928426740/fancy-pendant-1931-lucky-sixpence-90th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,135,7,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
674708856,active,17905617,,"2013 Bronze 8th Anniversary Cufflinks,  2013 Penny Birth Year Coin Cufflink 8th, Mens Gift, Bronze wedding Anniversary Thinking Of You","A Fantastic gift for a 8th Bronze wedding anniversary. 2013 One Penny Cufflinks

These are genuine circulated  and polished 2013 One pence coins handmade into cufflinks

Supplied in a quality cufflink box",1612719196,1623083596,1551915146,1612741454,07/02/2021,29.98,USD,79,[],"Birth Year Cufflinks, Bronze Anniversary, Fathers day gift, Bronze wedding, 2013 bronze wedding, 2013 anniversary, copper coins 2013, 2013 8th anniversary, 2013 husband gift, 2013 wedding, 2013 copper gift, 8th bronze, 8th bronze wedding","2013 penny cufflinks, gift box",,,1596445676,https://www.etsy.com/listing/674708856/2013-bronze-8th-anniversary-cufflinks?utm_source=bulkupload&utm_medium=api&utm_campaign=api,285,10,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,men,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,52,"['Accessories', 'Suit & Tie Accessories', 'Cuff Links & Tie Clips', 'Cuff Links']",FALSE,FALSE
101122530,active,17905617,,"Sixpence for luck 1942 79th Birthday Cufflinks - 1942 genuine sixpence coin cufflinks 79th Thinking Of You,  Special Friend, Mum, Dad","Lucky Sixpence 1942 79th Birthday Cufflinks

1942 Sixpence cufflinks for sale

Genuine 1942 Circulated Sixpence

A great gift for 79th Birthday

Supplied in a nice cufflink box",1612711681,1623076081,1338541357,1612741822,07/02/2021,39.98,USD,1,[],"Cufflinks, 1942, Lucky Sixpence, 1942 gift, 1942 birthday, 1942 birthday gift, coin jewellery, fathers day gift, gift for dad, gift for him, 79th birthday gift, 79th Dad, 79th Brother","coins, 1942 silver sixpence",11743660,,1596445684,https://www.etsy.com/listing/101122530/sixpence-for-luck-1942-79th-birthday?utm_source=bulkupload&utm_medium=api&utm_campaign=api,390,20,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,men,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,52,"['Accessories', 'Suit & Tie Accessories', 'Cuff Links & Tie Clips', 'Cuff Links']",FALSE,FALSE
178626176,active,17905617,,"Floral Pendant 1931 Lucky sixpence 90th Birthday plus a Sterling Silver 18in Chain 90th birthday gift for her Thinking Of You, Mum Dad","Genuine Circulated Sixpence Mounted on a Tibetan Silver mount with a 18 inch Sterling silver chain 1931 coin
This is a stunning piece of jewellery that would suit all ages. 

A genuine circulated 1931 polished sixpence mounted Tibetan Silver mount  on a 18 inch hallmarked sterling silver necklace.

Supplied with lovely gift box

Ideal present for a 90th Birthday / Anniversary 


This item will make a nice gift or to celebrate the year of your birth.",1612706056,1623070456,1391807939,1612741516,07/02/2021,29.98,USD,5,[],"90th mum, 90th sister, 1931 mum gift, coin jewellery, coin jewelry, coin pendant, 90th present, british 1931, 1931 birthday, 1931 gift, mothers day, 90th birthday, 90th gift idea","silver plated, sixpence, 1931 sixpence, gift box",11743680,,1611597627,https://www.etsy.com/listing/178626176/floral-pendant-1931-lucky-sixpence-90th?utm_source=bulkupload&utm_medium=api&utm_campaign=api,550,22,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
957411089,active,17905617,,"1956 65th Birthday Keyring-Sixpence Keyring- Mum, Dad, Brother, Sister- 65th Birthday-Coin Keyring, Sixpence Coin, 65th Anniversary, 6d","1956 65th Birthday keyrings -Sixpence keyrings- Mum, Dad, Sister, Brother- 65th Birthday - Coinn keyrings , Sixpence Coin,  Anniversary, 6d


These keyrings have been lovingly handmade from vintage 1956 Sixpence Coinns which have been polished. Perfect for a birthday or Anniversary gift.

The keyrings are made using silver plated backs and Sixpence Coinns giving a high quality finish.

",1612704257,1623068657,1612565222,1612738313,07/02/2021,19.98,USD,9,[],"1956, 1956 Gift, 1956 Dad Gift, 1956 Birthday Gift, 65th Gift, 65th Birthday Gift, 65th Birthday Dad, 65th Birthday Him, Grandad Gift 1956, Sixpence, Sixpence Coin, Keyring, 6d","Sixpence, Keyrings",,,1612565222,https://www.etsy.com/listing/957411089/1956-65th-birthday-keyring-sixpence?utm_source=bulkupload&utm_medium=api&utm_campaign=api,4,0,40038938742,1,2,i_did,FALSE,made_to_order,,,,,,,FALSE,men,birthday,"Steampunk,   traditional",FALSE,TRUE,FALSE,,TRUE,FALSE,en-US,FALSE,165,"['Accessories', 'Keychains & Lanyards', 'Keychains']",FALSE,FALSE
936422632,active,17905617,,"50th Birthday 1971 Old Irish One Pence Coin Cufflinks, 1971 50th birthday, 50th mens gift, gift for him, Fathers Day Gift, Dads 50th","50th Birthday 1971 Old Irish one pence Coin Cufflinks.
A Fantastic gift for a 50th birthday.

These are circulated and polished 1971 old Irish one pence coins handmade into cufflinks

Supplied in a quality cufflink box",1612700007,1623064407,1611697442,1612740867,07/02/2021,34.98,USD,32,[],"50th brother, Gift for Men, Fathers Day Gift, Gift for Dad, born in 1971, 1971 gift idea, 1971 birthday gift, gift for him, 50th birthday, 50th gift idea, 50th dad, 50th birthday dad, 50th mens birthday","1971 One Pence Coin Cufflink, gift box",,,1611697442,https://www.etsy.com/listing/936422632/50th-birthday-1971-old-irish-one-pence?utm_source=bulkupload&utm_medium=api&utm_campaign=api,17,3,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,men,birthday,"Traditional,    renaissance",FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,52,"['Accessories', 'Suit & Tie Accessories', 'Cuff Links & Tie Clips', 'Cuff Links']",FALSE,FALSE
215799442,active,17905617,,"1925 96th Birthday / Anniversary sixpence coin pendant plus 18inch SS chain gift - 96th gift, born in 1925, gift from 1925, Mens gift","Genuine circulated 1925 96th birthday coin mounted in a Silver plated mount with 18 inch Sterling Silver chain


A genuine circulated 1925 hand polished sixpence attached to a silver plated pendant mount

Ideal present for a 94th Birthday

This item will make a nice gift or to celebrate the year of your birth.

Supplied in a nice box

Picture shows 1924 - You will receive a 1925

Postage costs include Fully insured traceable delivery",1612693984,1623058384,1418973384,1612736067,07/02/2021,50.98,USD,1,[],"pendant, silver, lucky sixpence, wedding anniversary, anniversary gifts, coin jewellery, 1925, 1925 gift, 1925 birthday, 1925 birthday gift, mothers day, 96th","sterling silver, lucky sixpence coin, silver plate, antique coin, 1925 silver sixpence",11743680,,1612646485,https://www.etsy.com/listing/215799442/1925-96th-birthday-anniversary-sixpence?utm_source=bulkupload&utm_medium=api&utm_campaign=api,490,11,40038938742,1,2,i_did,FALSE,made_to_order,,oz,,,,in,FALSE,women,,,FALSE,TRUE,FALSE,,TRUE,TRUE,en-US,FALSE,1229,"['Jewelry', 'Necklaces', 'Pendants']",FALSE,FALSE
