listing_id,state,user_id,category_id,title,description,creation_tsz,ending_tsz,original_creation_tsz,last_modified_tsz,price,currency_code,quantity,sku,tags,materials,shop_section_id,featured_rank,state_tsz,url,views,num_favorers,shipping_template_id,processing_min,processing_max,who_made,is_supply,when_made,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,is_private,recipient,occasion,style,non_taxable,is_customizable,is_digital,file_data,should_auto_renew,language,has_variations,taxonomy_id,taxonomy_path,used_manufacturer,is_vintage
818544605,active,161748751,,"60th Birthday Card / gift-  Year of Birth: 1961 - Lucky Sixpence for inside birthday greetings card! Mum, Dad, Grandparent or friend","Beautiful Lucky Sixpence gift with sixpence coin from 1961. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This beautiful gift is available now with the original 1961 sixpence, minted 60 years ago. This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness. Someone born in 1961 would have been 6 at the time of decimalisation. 

For me I think things with history, something I can touch and feel. This item comes complete with a small envelope and is covered in a thin plastic cover to protect it. Even better, its credit card sized so can fit into a purse or wallet :)

Product details:
H - 55mm
L - 85mm

Coin - sixpence, 19.4mm diameter

If you have any questions we would love to hear from you. We are new to Etsy, but please helps us grow :-).",1612649866,1623014266,1591115830,1612649866,3.39,GBP,81,[],"['special friend', 'loved one', 'thinking of you', 'birthday', 'mum', 'dad', 'birthday gift', '60', '60th birthday', '60 years old', '60 years']",[],30589599,,1605405073,https://www.etsy.com/listing/818544605/60th-birthday-card-gift-year-of-birth?utm_source=bulkupload&utm_medium=api&utm_campaign=api,2139,75,1.1692E+11,1,1,i_did,FALSE,made_to_order,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,TRUE,1264,"['Paper & Party Supplies', 'Paper', 'Greeting Cards', 'Birthday Cards']",FALSE,FALSE
921418686,active,161748751,,"1961, 60th Birthday Gift, Brass theepence Birth Year - 60th Birthday Coin, mens, ladies Birthday Anniversary Present Gift","1961 60th Coin, 1961, Brass threepence Coin, Coin Gift, Threepence Coins, Birth Year Coin, Birth Year Gift, Coin, Groom Keyring, 60th Birthday.
--------------------------------------------------------------------------------------------------------------------------------------

Our keyrings are handmade from authentic vintage coins. This one is from the reign of George VI and is dated 1961. The brass threepence was only minted from 1937 to 1967. In £1 there was 80 threepences, so quite a small coin in terms of value. But now they make a perfect gift for a 70th birthday. Note that the 1949, 1946, 1950 and 1951 are considered rare in the collection. 

Your coin will be presented in a small cotton padded gift box along with a mini card for you to write a short message (please see the dimensions below as this is not a large item!).

We are pleased to offer a wide range of gifts for milestone birthdays, therefore we sure to checkout our other listings.

Dimensions & Measurements:
Keyring length:
Coin diameter:
Box dimensions:
Mini card dimensions:",1612649443,1623013843,1609623787,1612649443,5.99,GBP,71,[],"['handmade gift', 'gift for mother', 'gift for grandma', 'coin gifts', 'birthday coin', 'unique gift', '60th birthday gift', 'threepence 1961', '60th birthday', 'year of birth 1961']",[],30589599,,1612526710,https://www.etsy.com/listing/921418686/1961-60th-birthday-gift-brass-theepence?utm_source=bulkupload&utm_medium=api&utm_campaign=api,596,20,,1,2,i_did,FALSE,made_to_order,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,FALSE
862406486,active,161748751,,"D2 - 60th Birthday Card/ Gift - Year of Birth:  1961 Lucky Sixpence  for inside birthday greetings card! Mum, Dad, Grandparent, Birthdays","Beautiful Lucky Sixpence gift with sixpence coin from 1961. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This beautiful gift is available now with the original 1961 sixpence, minted 60 years ago. This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness. Someone born in 1961 would have been 6 at the time of decimalisation. 

For me I think things with history, something I can touch and feel. This item comes complete with a small envelope and is covered in a thin plastic cover to protect it. Even better, its credit card sized so can fit into a purse or wallet :)

Product details:
H - 55mm
L - 85mm

Coin - sixpence, 19.4mm diameter

If you have any questions we would love to hear from you. We are new to Etsy, but please helps us grow :-).",1612648724,1623013124,1600983082,1612648724,3.39,GBP,85,[],"['special friend', 'loved one', 'thinking of you', 'birthday', 'mum', 'dad', 'birthday gift', '60', '60th birthday', '60 years old', '60 years', 'year of birth 1961']",[],30589599,1,1612121745,https://www.etsy.com/listing/862406486/d2-60th-birthday-card-gift-year-of-birth?utm_source=bulkupload&utm_medium=api&utm_campaign=api,3831,145,1.1692E+11,1,1,i_did,FALSE,made_to_order,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,TRUE,1264,"['Paper & Party Supplies', 'Paper', 'Greeting Cards', 'Birthday Cards']",FALSE,FALSE
845985444,active,161748751,,"18th Birthday Card / gift - Year of Birth: 2003 Lucky Sixpence- for inside birthday greetings card! Brother, Son, Sister, Daughter or friend","Beautiful Lucky Sixpence gift with sixpence coin. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This beautiful gift is available now with an original sixpence, minted over 50 years ago. This gift is ideal for a gift from grandparent or parent who will remember our &quot;old money&quot; with fondness and can share with your children or grandchildren this old tradition!

For me I think things with history, something I can touch and feel. This item comes complete with a small envelope and is covered in a thin plastic cover to protect it. Even better, its credit card sized so can fit into a purse or wallet :)

Product details:
H - 55mm
L - 85mm

Coin - sixpence, 19.4mm diameter

If you have any questions we would love to hear from you. We are new to Etsy, but please helps us grow :-).",1612646220,1623010620,1598288789,1612646220,2.89,GBP,53,[],"['special friend', 'loved one', 'thinking of you', 'birthday', 'birthday gift', 'daughter', 'son', 'grandchild', '18', '18 birthday', '18th birthday', '18 years', 'year of birth 2003']",[],30573356,,1598288789,https://www.etsy.com/listing/845985444/18th-birthday-card-gift-year-of-birth?utm_source=bulkupload&utm_medium=api&utm_campaign=api,1587,55,1.1692E+11,1,1,i_did,FALSE,made_to_order,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,TRUE,1264,"['Paper & Party Supplies', 'Paper', 'Greeting Cards', 'Birthday Cards']",FALSE,FALSE
932407867,active,161748751,,"70th Birthday - 1951 Lucky Sixpence Coin Great Britain - George VI - Perfect for Birthday, Craft or Jewelry - Mum, Dad, Grandma, Grandpa","1951 Lucky Sixpence Coin Great Britain - King George VI - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Daughter, Son

Authentic Sixpence from the reign of King George VI. This sixpence is from circulation, but will not be damaged or dirty. The coin pictured is an example of the condition of the coin you will get. 

Weight - 2.8g
Diameter - 19mm
Metal - CUPRO NICKLE

Beautiful Lucky Sixpence coin with sixpence coin from 1951. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness or someone who makes crafts and Jewelry.

For me I think things with history, something I can touch and feel.",1612645896,1623010296,1609172414,1612645896,0.99,GBP,84,[],"['birthday', 'crafts', 'year of birth', 'whole sale', 'mum', 'dad', 'brother', 'sixpence', 'lucky sixpence', 'charm', 'birthday sixpence', '1951', '70th Birthday']",['metal'],30589601,,1612482723,https://www.etsy.com/listing/932407867/70th-birthday-1951-lucky-sixpence-coin?utm_source=bulkupload&utm_medium=api&utm_campaign=api,135,9,95307282459,1,1,i_did,FALSE,1950s,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,TRUE
869330312,active,161748751,,"1930 Lucky Silver Sixpence Coin Great Britain - George V - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Grandfather","Contains 50% silver!!

1930 Lucky Sixpence Coin Great Britain - King George V - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Grandfather, Grandmother

Authentic Sixpence from the reign of King George V. This sixpence is from circulation, but will not be damaged or dirty. The coin pictured is an example of the condition of the coin you will get. 

Weight - 2.8g
Diameter - 19mm
Metal - 50% silver!

Beautiful Lucky Sixpence coin with sixpence coin from 1930. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness or someone who makes crafts and Jewelry.

For me I think things with history, something I can touch and feel.",1612643150,1623007550,1602107137,1612643150,2.99,GBP,94,[],"['birthday', 'crafts', 'year of birth', 'whole sale', 'mum', 'dad', 'sixpence', 'lucky sixpence', 'charm', 'uncle', 'birthday sixpence', 'grandfather', '1930']",['metal'],31873366,,1602107137,https://www.etsy.com/listing/869330312/1930-lucky-silver-sixpence-coin-great?utm_source=bulkupload&utm_medium=api&utm_campaign=api,42,2,95307282459,1,1,i_did,FALSE,1930s,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,TRUE
883255153,active,161748751,,"1933 Lucky Silver Sixpence Coin Great Britain - George V - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Grandfather","Contains 50% silver!!

1933 Lucky Sixpence Coin Great Britain - King George V - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Grandfather, Grandmother

Authentic Sixpence from the reign of King George V. This sixpence is from circulation, but will not be damaged or dirty. The coin pictured is an example of the condition of the coin you will get. 

Weight - 2.8g
Diameter - 19mm
Metal - 50% silver!

Beautiful Lucky Sixpence coin with sixpence coin from 1933. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness or someone who makes crafts and Jewelry.

For me I think things with history, something I can touch and feel.",1612641504,1623005904,1602106822,1612641504,2.79,GBP,81,[],"['birthday', 'crafts', 'year of birth', 'whole sale', 'mum', 'dad', 'sixpence', 'lucky sixpence', 'charm', 'uncle', 'birthday sixpence', 'grandfather', '1933']",['metal'],31873366,,1602106822,https://www.etsy.com/listing/883255153/1933-lucky-silver-sixpence-coin-great?utm_source=bulkupload&utm_medium=api&utm_campaign=api,162,10,95307282459,1,1,i_did,FALSE,1930s,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,TRUE
932406941,active,161748751,,"60th Birthday - 1961 Lucky Sixpence Coin Great Britain - Queen Elizabeth II - Perfect for Birthdays, Craft - Mum, Dad, Daughter, Grandma","1961 Lucky Sixpence Coin Great Britain - Queen Elizabeth II - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Daughter, Son

Authentic Sixpence from the reign of Queen Elizabeth. This sixpence is from circulation, but will not be damaged or dirty. The coin pictured is an example of the condition of the coin you will get. 

Weight - 2.8g
Diameter - 19mm
Metal - CUPRO NICKLE

Beautiful Lucky Sixpence coin with sixpence coin from 1961. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness or someone who makes crafts and Jewelry.

For me I think things with history, something I can touch and feel.",1612637532,1623001932,1609172298,1612637532,1.49,GBP,165,[],"['birthday', 'crafts', 'year of birth', 'whole sale', 'mum', 'dad', 'brother', 'sixpence', 'lucky sixpence', 'charm', '1961', 'birthday sixpence', '60th birthday']",['metal'],30589599,,1609172298,https://www.etsy.com/listing/932406941/60th-birthday-1961-lucky-sixpence-coin?utm_source=bulkupload&utm_medium=api&utm_campaign=api,268,18,95307282459,1,1,i_did,FALSE,1960s,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,TRUE
877828299,active,161748751,,"1964 Lucky Sixpence Coin Great Britain - Queen Elizabeth II - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Daughter, Son","1964 Lucky Sixpence Coin Great Britain - Queen Elizabeth II - Perfect for Birthdays, Anniversary, Craft or Jewelry - Mum, Dad, Daughter, Son

Authentic Sixpence from the reign of Queen Elizabeth. This sixpence is from circulation, but will not be damaged or dirty. The coin pictured is an example of the condition of the coin you will get. 

Weight - 2.8g
Diameter - 19mm
Metal - CUPRO NICKLE

Beautiful Lucky Sixpence coin with sixpence coin from 1964. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness or someone who makes crafts and Jewelry.

For me I think things with history, something I can touch and feel.",1612631743,1622996143,1601242753,1612631743,0.99,GBP,80,[],"['birthday', 'crafts', 'year of birth', 'whole sale', 'mum', 'dad', 'brother', 'sixpence', 'lucky sixpence', 'charm', 'uncle', '1964', 'birthday sixpence']",['metal'],31873366,,1601242753,https://www.etsy.com/listing/877828299/1964-lucky-sixpence-coin-great-britain?utm_source=bulkupload&utm_medium=api&utm_campaign=api,110,8,95307282459,1,1,i_did,FALSE,1960s,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,FALSE,68,"['Art & Collectibles', 'Collectibles', 'Coins & Money']",FALSE,TRUE
818548939,active,161748751,,"80th Birthday Card / gift - Year of Birth: 1941 Lucky Silver Sixpence for inside birthday card! Mum, Dad, Grandparent or special friend","Beautiful Lucky Sixpence gift with sixpence coin from 1941. The sixpence is widely known in the UK as a &quot;lucky coin&quot;. It was often used as a token given to a bride on her wedding day or in a Christmas pudding. The recipient would have good luck. 

This beautiful gift is available now with the original 1941 sixpence, minted 80 years ago. This gift is ideal for a grandparent or parent who will remember our &quot;old money&quot; with fondness. Someone born in 1941 would have been 26 at the time of decimalisation. 

For me I think things with history, something I can touch and feel. This item comes complete with a small envelope and is covered in a thin plastic cover to protect it. Even better, its credit card sized so can fit into a purse or wallet :)

Product details:
H - 55mm
L - 85mm

Coin - sixpence, 19.4mm diameter

If you have any questions we would love to hear from you. We are new to Etsy, but please helps us grow :-).",1612629361,1622993761,1591116351,1612629361,5.99,GBP,16,[],"['special friend', 'loved one', 'thinking of you', 'birthday', 'mum', 'dad', 'birthday gift', '80 years', '80 years old', '80th birthday', '80', 'year of birth 1941']",[],30589603,,1602017467,https://www.etsy.com/listing/818548939/80th-birthday-card-gift-year-of-birth?utm_source=bulkupload&utm_medium=api&utm_campaign=api,569,10,1.1692E+11,1,1,i_did,FALSE,made_to_order,,g,,,,mm,FALSE,,,,FALSE,FALSE,FALSE,,TRUE,en-US,TRUE,1264,"['Paper & Party Supplies', 'Paper', 'Greeting Cards', 'Birthday Cards']",FALSE,FALSE
